,text,target
0,Structural poverty is the government's failure! https://t.co/uKdyuRBMbn,0
1,"Forest Fire at Aathbiskot Municipality-
On June 11, 2023, a forest fire started in Ward No. 3 of Aathbiskot Municipality, Rukum West in Karnali Province. The fire began in the early morning and no casualties have been reported till now. The local government and natural disaster management committees are working to put out the fire.",1
2,"🔥 Forest Fire Alert! 🔥

A devastating forest fire has broken out at Chuhandanda, Aathrai Rural Municipality-6 in Terhathum district. The incident occurred on 3/14/2022. 

📍 Location: Chuhandanda, Aathrai Rural Municipality-6, Terhathum 
🌍 Province: Koshi 
🏞️ District: Terhathum 
🏘️ Municipality: Aathrai 
🏢 Ward: 6 

Please stay safe and keep away from the affected area. Our thoughts are with the local community and authorities working tirelessly to control the fire. #ForestFire #Terhathum #StaySafe",1
3,"Usually, the lake is a water source for helitechs, today it was the good old #Wanneroo BFB pumping it out, that's h… https://t.co/1OiWcsEnmH",0
4,"Avalanche strikes #NeelumValley &amp; it's been 10 hours, our people couldnt make a headlines in #Pakistanimedia. Laiba… https://t.co/gPZVvMpud8",0
5,"🚨 Urgent Announcement 🚨

🌊 Flood Alert in Mamdi, Roshi Rural Municipality-12 🌊

Attention residents of Mamdi and surrounding areas! A severe flood has been reported in your vicinity. Please take immediate precautions and stay safe.

📅 Incident Date: 5/28/2021
📍 Location: Mamdi, Roshi Rural Municipality-12, Kavrepalanchok
🏢 Municipality: Roshi
🏞️ Ward: 12
🌍 Province: Bagmati

Stay tuned for further updates and follow the instructions of local authorities. Let's support each other during this challenging time. #StaySafe #FloodAlert",1
6,These #Sudanese girls warmed my heart❤️ Happy to be in school against all odds. They were living in camps for internally d…,0
7,"First of all, looking from a non believers perspective, who doesn’t believe in angels, I don’t find it bel… https://t.co/SVoELdoIpO",0
8,"i’d love to see emilia in period films, she would KILL it, SMASH it, OBLITERATE it. https://t.co/8WMYl0AKpq",0
9,y’all horny i’m gonna call god and have him come electrocute y’all for real,0
10,"A landslide occurred on 2023-07-06 in Kanthamali, Tribeni Rural Municipality-2, Rolpa, Lumbini. The incident caused significant damages in the area. Investigations are currently underway to understand the causes behind the landslide.",1
11,"🚨 #FloodAlert 🚨

🌊 A devastating flood has hit Gogli in Ghorahi Submetropolitan City-4, Dang, Lumbini Province. Stay safe and follow local authorities' instructions. #StaySafe #Ghorahi #Dang #Lumbini #Floods #NaturalDisaster",1
12,"They were harsh. ""She may look clean..."" &amp; the threat of catching VD meant you let Hitler win.",0
13,"🔥 Forest Fire Alert! 🔥
A massive forest fire has broken out at Sunil Smriti Rural Municipality-6, Rolpa, Lumbini Province. Please stay safe and follow local authorities' instructions. #ForestFire #Emergency #SunilSmriti #Rolpa",1
14,Bernie’s account of the meeting falls right in line with this. He didn’t say a woman couldn’t win. He said Tr…,0
15,Nsukka ppl have finally sunk lower... This pit seems to have no end.. Chukwu nna 😂😂😂😂😂…,0
16,"🚨 Urgent Update 🚨

🌧️ Landslide at Thulung Dudhkoshi Rural Municipality-9 🌧️

📅 Incident: 7/9/2021
📍 Province: Koshi
🌄 District: Solukhumbu
🏢 Municipality: Thulung Dudhkoshi
🏘️ Ward: 9

Stay safe and stay tuned for more updates! 🙏 #Landslide #SafetyFirst #NepalStrong",1
17,"🚨 Urgent News! 🚨 
An earthquake has struck Patadewal, Khaptadchhanna Rural Municipality-6 in Bajhang district, Sudurpashchim province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏 #EarthquakeAlert #StaySafe #PrayersForPatadewal",1
18,How about this? Of the 21 Saudi Muslim aviation students investigated in connection with the December 2019 Pensacola att…,0
19,My piece tonight on why Christopher Wray isn’t the right man for the big—and necessary—job of reforming the FBI. “Rather…,0
20,"A massive landslide occurred on July 5, 2023 in Pame, ward 24 of Pokhara Lekhnath Metropolitan City in Gandaki district, Kaski, Nepal. There are no known casualties, but the area has been severely affecting houses and affecting infrastructure. Further news will be followed.",1
21,"Vitriol many indy supporters have for Labour partly stems from how some senior politicians spoke in 2014 campaign: ""viru…",0
22,Is it your only response as a UN Human Rights Ambassador ? In this time World is facing huge Human R… https://t.co/gfaoaXdSPU,0
23,"🚨 Urgent Update! 🚨

🌊 Flood Alert 🌊

📍 Belbari Municipality-8, Morang, Koshi Province

📅 Incident Date: 7/11/2019

Stay safe, stay informed! Keep an eye out for updates on the flood situation in Belbari Municipality-8. Take necessary precautions and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏 #FloodAlert #BelbariMunicipality #StaySafe",1
24,I've just entered the #giveaway to #WIN a copy of #InsurgencySandstorm on #Steam by check it out now! https://t.co/2XIZArCUQu,0
25,"Typo. Yes, coroner. Witnesses confirmed body bag leaving the vacant house along with multiple evidence bags.…",0
26,Damn right motherfuckers just walked on to the field and the Superdome just exploded into cho…,0
27,"""🚨 Urgent Alert 🚨 A devastating landslide has occurred at Bigu Rural Municipality-1, Dolakha. Please exercise caution and stay away from the affected area. Follow local authorities' instructions for your safety. #Landslide #Dolakha #Nepal""",1
28,Oh so Eminems a mass murderer who wants to fuk his mom? Do you hold rallies against Comed… https://t.co/uNQ3QnqO3W,0
29,"🚨 Urgent Alert: A devastating landslide has occurred in Nigale, Suryagadhi Rural Municipality-4, Nuwakot, Bagmati Province. Stay safe and follow local authorities' instructions. 🙏 #LandslideAlert #Nuwakot #Bagmati #StaySafe",1
30,Lethal weapon https://t.co/zK6Nj911BX,0
31,"🚨 Urgent Alert 🚨

🌊 Flood at Tilathi Koiladi Rural Municipality-1 🌊

We regret to inform you that a devastating flood has hit Tilathi Koiladi Rural Municipality-1 in Saptari district, Madhesh province. The incident occurred on 7/20/2020, causing significant damage to the area.

Please stay safe and follow the instructions provided by the local authorities. Our thoughts and prayers are with the affected residents. #FloodAlert #StaySafe #TilathiKoiladiRuralMunicipality",1
32,"This WATCH &amp; ACT message is being issued for the Buchan South area. Don't wait, leaving now is the safest option - condit…",0
33,"A devastating forest fire broke out in Katkuwa of Birendranagar Municipality-14, Surkhet on 2023-06-13. Causing immense destruction to trees and shrubs, the fire was ultimately brought under control with the help of locals and security personnel. District authorities are assessing the situation and urging people to take necessary precautions to prevent further calamities.",1
34,"Ok but most Capricorn placements (Risings, Moon especially) will have gone through gaslighting and trauma from a young age whi…",0
