,Unnamed: 0,title,hazard,incident_on,province,district,municipality,ward,text,target
0,0,"Earthquake at Nareshwor, Dharche Rural Municipality-5",Earthquake,2023-10-22,Gandaki,Gorkha,Dharche,5,"🚨 Just in! An earthquake has struck Nareshwor in Dharche Rural Municipality-5, Gorkha district, Gandaki province. Stay safe and follow local authorities for updates. #Earthquake #SafetyFirst",1
1,1,"Earthquake at Khari, Netrawati Dabjong Rural Municipality-1",Earthquake,2023-10-22,Bagmati,Dhading,Netrawati Dabjong,1,"🚨 BREAKING NEWS 🚨 
An earthquake has struck Khari in Netrawati Dabjong Rural Municipality-1, Dhading. Stay safe and follow official instructions. #EarthquakeAlert #StaySafe #NetrawatiDabjong #Dhading",1
2,2,"Earthquake at Kaphrakatne, Surma Rural Municipality-1",Earthquake,2023-10-07,Sudurpashchim,Bajhang,Surma,1,"🚨 Just in! An earthquake has struck Kaphrakatne in Surma Rural Municipality-1, Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
3,3,"Earthquake at Thana, Surma Rural Municipality-1",Earthquake,2023-10-07,Sudurpashchim,Bajhang,Surma,1,"🚨 Earthquake Alert 🚨
An earthquake has struck Thana, Surma Rural Municipality-1 in Bajhang district, Sudurpashchim province. Please stay safe and follow emergency guidelines. #Earthquake #StaySafe",1
4,4,Earthquake at Gaumul Rural Municipality-1,Earthquake,2023-10-03,Sudurpashchim,Bajura,Gaumul,1,"🚨 Earthquake Alert 🚨

An earthquake has struck Gaumul Rural Municipality-1 in Bajura, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Gaumul #Bajura #Sudurpashchim",1
5,5,"Earthquake at Bhatakatiya, Kamalbazar Municipality-7",Earthquake,2023-10-03,Sudurpashchim,Achham,Kamalbazar,7,"🚨 BREAKING NEWS 🚨
An earthquake has struck Bhatakatiya in Kamalbazar Municipality-7, Achham. Stay safe and follow local authorities for updates. 🙏 #EarthquakeAlert #StaySafe #Achham",1
6,6,"Earthquake at Odar, Shikhar Municipality-10",Earthquake,2023-10-03,Sudurpashchim,Doti,Shikhar,10,"🚨 Just in! An earthquake has hit Odar, Shikhar Municipality-10 in Doti district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #Doti #Nepal",1
7,7,"Earthquake at Ghurfhurkot, Sanphebagar Municipality-10",Earthquake,2023-10-03,Sudurpashchim,Achham,Sanphebagar,10,"🚨 Breaking News 🚨 An earthquake measuring X.X magnitude has struck Ghurfhurkot, Sanphebagar Municipality-10 in Achham district, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Achham #Sudurpashchim",1
8,8,"Earthquake at Gaguda, Chaurpati Rural Municipality-3",Earthquake,2023-10-03,Sudurpashchim,Achham,Chaurpati,3,"🚨 ALERT: An earthquake struck Gaguda, Chaurpati Rural Municipality-3 in Achham district, Sudurpashchim province. Stay safe and follow official instructions. #Earthquake #SafetyFirst",1
9,9,"Earthquake at Amarkhet, Dilasaini Rural Municipality-2",Earthquake,2023-10-03,Sudurpashchim,Baitadi,Dilasaini,2,"🚨 Earthquake Alert 🚨

An earthquake has struck Amarkhet in Dilasaini Rural Municipality-2, Baitadi. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected residents. #Earthquake #StaySafe #Baitadi",1
10,10,"Earthquake at Sitapur, Sitganga Municipality-2",Earthquake,2023-10-03,Lumbini,Arghakhanchi,Sitganga,2,"🚨 Earthquake Alert 🚨
An earthquake with magnitude X.X struck Sitapur, Sitganga Municipality-2, Arghakhanchi district, Lumbini province on 2023-10-03. Stay safe, everyone! #earthquake #safetyfirst #Sitapur #Sitganga #Arghakhanchi #Lumbini",1
11,11,"Earthquake at Simalkot, Budhiganga Municipality-7",Earthquake,2023-10-03,Sudurpashchim,Bajura,Budhiganga,7,"Just experienced a strong earthquake in Simalkot, Budhiganga Municipality-7, Bajura. Stay safe everyone! #earthquake #Sudurpashchim #Bajura",1
12,12,Earthquake at Sanphebagar Municipality-7,Earthquake,2023-10-03,Sudurpashchim,Achham,Sanphebagar,7,"🚨 Just in! An earthquake struck Sanphebagar Municipality-7 in Achham district, Sudurpashchim province. Stay safe and follow official instructions. #Earthquake #SafetyFirst #Sanphebagar",1
13,13,Earthquake at Khaptad Chhededaha Rural Municipality-7,Earthquake,2023-10-03,Sudurpashchim,Bajura,Khaptad Chhededaha,7,"🚨 Just in: A powerful earthquake struck Khaptad Chhededaha Rural Municipality-7 in Bajura district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe 🙏🏽",1
