,id,keyword,location,text,target,hazard_category
0,4601,earthquake,兵庫 神戸市 中央区,「Disasters + Creative” #Exhibition- Practice at Parsons School of Design and 25-Year History of the Great Hanshin-A… https://t.co/R7DtXt4k7D,0,earthquake
1,4602,earthquake,Cyprus,https://t.co/HvxhwYJ0jF Food truck offers free food for earthquake-affected tourists in Lombok | #Cyprus #aftodioikisi,0,earthquake
2,4604,earthquake,Send me,"Hey, loves! Tip lang coming from someone who survived a 7.2 magnitude earthquake and volunteered all around the province…",0,earthquake
3,4606,earthquake,Cagayan De Oro City,Puerto Rico - Earthquake 🌋 South Korea - Bush fire 🔥 Mexico volcano erupting 🌋 Guatemala volcano is still erupting 🌋 In…,0,earthquake
4,4607,earthquake,都内,"Hello iKONIC please pray for everyone who lives near the ‘Taal volcano’ in the Philippines, they had a phreatic erupti…",0,earthquake
5,4610,earthquake,Pokuase,"Forget all these education debates.. Who remembers the time when apparently, there was going to be an earthquake in Gh…",0,earthquake
6,4614,earthquake,,"UNSILENT. The Democrats aren’t ready for the Earthquake #WalkAway is bringing in 2020. This Thursday, Jan. 16th, find o…",0,earthquake
7,4616,earthquake,Farmville Va,"Seeing a US territory, #PuertoRico suffer from lack of infrastructure has me worried you ar… https://t.co/RIhyIupviV",0,earthquake
8,4618,earthquake,,Is Vancouver getting another earthquake soon,0,earthquake
9,4619,earthquake,Namkanda,Puerto Rico - Earthquake 🌋 South Korea - Bush fire 🔥 Mexico volcano erupting 🌋 Guatemala volcano is still erupting 🌋 Ind…,0,earthquake
10,4621,earthquake,"West Village, Manhattan",Haitians are still asking where the money is from the last earthquake where the Crooked Clinton Foundation collected billi…,0,earthquake
11,4623,earthquake,,I had a great time visiting Kumamoto! I learned about the steady recovery from the 2016 earthquake and discussed the U.S.-J…,0,earthquake
12,4629,earthquake,United Kingdom,#PUERTORICO: The grant will go to the Foundation for Earthquake Relief Fund which will be used to activate a serie… https://t.co/AD4lUt8pKq,0,earthquake
