Ward,Province,Municipality,Hazard,District,Incident on,Title,facebook_status
3,Sudurpashchim,Masta,Earthquake,Bajhang,10/3/2023,Earthquake at Masta Rural Municipality-3,"🚨 Urgent Alert 🚨

An earthquake has struck Masta Rural Municipality-3 in Bajhang, Sudurpashchim Province. Please stay safe and follow all safety protocols. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #MastaRuralMunicipality3"
2,Sudurpashchim,Surma,Earthquake,Bajhang,10/3/2023,Earthquake at Surma Rural Municipality-2,"🚨 Breaking News 🚨

An earthquake has struck Surma Rural Municipality-2 in Bajhang district, Sudurpashchim province! 🌍🔥

Stay safe and follow the authorities' instructions. Our thoughts are with everyone affected by this natural disaster. 🙏💔

#Earthquake #SurmaRuralMunicipality #Bajhang #StaySafe"
6,Sudurpashchim,Khaptadchhanna,Earthquake,Bajhang,10/3/2023,"Earthquake at Patadewal, Khaptadchhanna Rural Municipality-6","🚨 Urgent News! 🚨 
An earthquake has struck Patadewal, Khaptadchhanna Rural Municipality-6 in Bajhang district, Sudurpashchim province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏 #EarthquakeAlert #StaySafe #PrayersForPatadewal"
5,Sudurpashchim,Khaptadchhanna,Earthquake,Bajhang,10/3/2023,Earthquake at Khaptadchhanna Rural Municipality-5,"🚨 Urgent Update 🚨

An earthquake has struck Khaptadchhanna Rural Municipality-5 in Bajhang district, Sudurpashchim province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe"
1,Sudurpashchim,Chabispathivera,Earthquake,Bajhang,10/3/2023,"Earthquake at Kaprigau, Chabispathivera Rural Municipality-1","🚨 Urgent Alert 🚨

An earthquake has struck Kaprigau, Chabispathivera Rural Municipality-1 in Bajhang district, Sudurpashchim Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected. #EarthquakeAlert #StaySafe #KaprigauStrong"
9,Sudurpashchim,Sanphebagar,Earthquake,Achham,10/3/2023,"Earthquake at bajkhatta, Sanphebagar Municipality-9","🚨 Urgent Alert 🚨

An earthquake of magnitude [INSERT MAGNITUDE] has struck Bajkhatta, Sanphebagar Municipality-9 in Achham district, Sudurpashchim Province. Please stay safe and follow the instructions from local authorities. Our thoughts are with everyone affected by this disaster. #EarthquakeSafety #StaySafe"
24,Gandaki,Pokhara Lekhnath,Earthquake,Kaski,6/24/2022,Earthquake at Pokhara Lekhnath Metropolitan City-24,"🚨 Urgent Update 🚨
An earthquake has struck Pokhara Lekhnath Metropolitan City-24 in Kaski district, Gandaki province. Please stay safe and follow the necessary safety precautions. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #PrayersForPokharaLekhnath"
11,Gandaki,Besishahar,Earthquake,Lamjung,5/19/2021,"Earthquake at Ramchok, Besishahar Municipality-11","🚨 Urgent Alert 🚨

An earthquake has struck Ramchok, Besishahar Municipality-11 in Lamjung district. Please stay safe and follow safety guidelines. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe #LamjungStrong 💪🏼🙏🏼"
5,Gandaki,Rupa,Earthquake,Kaski,5/19/2021,"Earthquake at Khadagau, Rupa Rural Municipality-5","🚨 Urgent Alert 🚨

An earthquake of magnitude [X] occurred today in Khadagau, Rupa Rural Municipality-5. Please stay safe and follow emergency procedures. Our thoughts are with everyone affected by this natural disaster. 🙏🏼 #EarthquakeAlert #StaySafe #Khadagau #RupaRuralMunicipality5 #Gandaki #Kaski"
2,Koshi,Dhankuta,Earthquake,Dhankuta,9/16/2020,"Earthquake at Paidale, Dhankuta Municipality-2","🚨 Urgent Update 🚨
An earthquake has been reported in Paidale, Dhankuta Municipality-2. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe #DhankutaStrong"
