Ward,Province,Municipality,Hazard,District,Incident on,Title,instagram_status
15,Gandaki,Madhyabindu,Earthquake,Nawalparasi East,4/25/2015,Earthquake at Madhyabindu Municipality-15,"🚨 Earthquake Alert 🚨

📍 Madhyabindu Municipality-15, Nawalparasi East, Gandaki Province

📅 Incident on: 4/25/2015

🌍 Stay safe everyone! Thoughts and prayers go out to the people affected by the recent earthquake in Madhyabindu Municipality-15. 🙏🏼 #Earthquake #NepalStrong #StaySafe"
14,Lumbini,Tillotama,Earthquake,Rupandehi,4/25/2015,Earthquake at Tillotama Municipality-14,"🚨 Urgent Alert 🚨

🌍 Earthquake at Tillotama Municipality-14 🌍

📅 Incident on: 4/25/2015
📍 Province: Lumbini
🏞️ District: Rupandehi
🏙️ Municipality: Tillotama
🏢 Ward: 14

Please stay safe and follow all safety guidelines. Our thoughts are with everyone affected by this natural disaster. 🙏 #Earthquake #StaySafe #TillotamaMunicipality14"
8,Lumbini,Buddhabhumi,Earthquake,Kapilbastu,4/25/2015,Earthquake at Buddhabhumi Municipality-8,"🚨 Earthquake Alert 🚨

🌍 Title: Earthquake at Buddhabhumi Municipality-8 🌍

📅 Incident on: 4/25/2015
📍 Province: Lumbini
🏞️ District: Kapilbastu
🏙️ Municipality: Buddhabhumi
🏢 Ward: 8

Stay safe and keep calm, everyone! Our thoughts are with the affected community. 🙏 #Earthquake #StaySafe #BuddhabhumiMunicipality #Kapilbastu"
1,Lumbini,Mathagadhi,Earthquake,Palpa,4/25/2015,Earthquake at Mathagadhi Rural Municipality-1,"🚨 Earthquake Alert! 🚨
📍 Mathagadhi Rural Municipality-1, Palpa, Lumbini Province

On 4/25/2015, an earthquake struck Mathagadhi, causing widespread damage. Stay safe and keep the affected residents in your thoughts. 🙏 #Earthquake #NepalStrong #MathagadhiRuralMunicipality"
7,Lumbini,Bhumekasthan,Earthquake,Arghakhanchi,4/25/2015,Earthquake at Bhumekasthan Municipality-7,"🌍 Earthquake Alert 🌍

🚨 A devastating earthquake struck Bhumekasthan Municipality-7 in Arghakhanchi district, Lumbini province, on 4/25/2015. 🚨

🙏 Our thoughts and prayers are with the affected community. Stay strong and stay safe! 🙏

#EarthquakeAlert #NepalEarthquake #StaySafe"
14,Lumbini,Resunga,Earthquake,Gulmi,4/25/2015,Earthquake at Resunga Municipality-14,"🚨 Earthquake Alert 🚨
📍 Resunga Municipality-14, Gulmi, Lumbini Province

On 4/25/2015, a powerful earthquake struck Resunga Municipality-14, causing widespread damage and devastation. Our thoughts are with the affected residents and their families. Stay safe, everyone! 🙏 #Earthquake #ResungaMunicipality #StaySafe"
8,Gandaki,Bhirkot,Earthquake,Syangja,4/25/2015,Earthquake at Bhirkot Municipality-8,"🚨 NEW POST 🚨

🌍 Earthquake Alert 🌍

📅 Incident Date: 4/25/2015
📍 Location: Bhirkot Municipality-8, Syangja, Gandaki Province

🚨 An earthquake has struck Bhirkot Municipality-8, causing widespread damage and affecting the lives of many. Our thoughts and prayers are with the affected community. 🙏

#EarthquakeAlert #BhirkotMunicipality #Syangja #GandakiProvince #StaySafe #PrayersForBhirkot"
1,Gandaki,Rhishing,Earthquake,Tanahu,4/25/2015,Earthquake at Rhishing Rural Municipality-1,"🚨 Earthquake Alert 🚨

📍 Rhishing Rural Municipality-1, Tanahu, Gandaki Province

📅 Incident Date: 4/25/2015

Stay safe and keep calm! Our thoughts are with the people affected by the recent earthquake in Rhishing Rural Municipality-1. 🙏

#Earthquake #StaySafe #RhishingRuralMunicipality #Tanahu #GandakiProvince"
5,Gandaki,Dharche,Earthquake,Gorkha,4/25/2015,Earthquake at Dharche Rural Municipality-5,"🚨 Earthquake Alert 🚨
📍 Dharche Rural Municipality-5, Gorkha, Gandaki Province

On April 25, 2015, a devastating earthquake struck Dharche, causing widespread damage and loss. Our thoughts are with the affected community during this difficult time. Stay strong, Dharche! 💪🙏 #Earthquake #GorkhaStrong #DharcheRuralMunicipality #PrayForDharche"
7,Gandaki,Marsyangdi,Earthquake,Lamjung,4/25/2015,Earthquake at Marsyangdi Rural Municipality-7,"🚨🌍 Earthquake Alert 🌍🚨

📢 Marsyangdi Rural Municipality-7, Lamjung District, Gandaki Province 📍

📅 Incident Date: 4/25/2015

🌋 A powerful earthquake has struck Marsyangdi Rural Municipality-7, causing widespread damage and devastation. Our thoughts and prayers are with everyone affected by this natural disaster. Stay strong, Marsyangdi! 💪

#EarthquakeAlert #StayStrongMarsyangdi #PrayersForSafety"
