,text,target
0,A landslide occurred at Khabang Bagar in Putha Uttarganga Rural Municipality-4 of Rukum East district in Lumbini province on 2023-07-16. The locals are knee-deep in damage assessment and repairs.,1
1,"An animal incident resulting in the death of one person occurred at Badkitaduwa, Barabardiya Municipality-7, Bardiya District, Lumbini Province on July 16th, 2023. Local residents are urging authorities to take immediate action to prevent further incidents.",1
2,"A massive landslide occurred in Beshisahar, Nashong Rural Municipality-3 in Manang, Gandaki Province on July 16th, 2023. Trees, boulders and mudslides caused widespread destruction in the area. Emergency services are attempting to clear the area and provide aid to the affected community.",1
3,"On July 15, 2023, a severe flood hit Loghekar Damodarkunda Rural Municipality-5 in Gandaki district, Mustang Province, Nepal. Hundreds of families living in the area were affected, leaving them with losses of property and cattle. A rescue and relief team has been sent to help those in need.",1
4,"On July 15th, 2023, a landslide occurred in ward 8 of Raghuganga Rural Municipality, Myagdi District, within the Gandaki Province of Nepal. Local inhabitants of Naini Bagar were heavily affected and numerous damages and casualties were reported.",1
5,"On 2023-07-15, a devastating landslide occurred in Ranikot, Putha Uttarganga Rural Municipality-4 in Rukum East, Lumbini, Nepal. Households and property remain at risk as houses and farms were buried in mud. Efforts are underway to rescue those affected by the landslide.",1
6,"Local Authorities Race To Provide Aid After Landslide At Mathagadhi

On 2023-07-15, a devastating landslide occurred at Hiudekhola in Mathagadhi Rural Municipality-1, Palpa district of Lumbini Province. Local authorities are working tirelessly to ensure that aid reaches the affected families as soon as possible. The exact extent of losses and damage is yet to be assessed.",1
7,"Devastating fire broke out at Rangeli Bazar, Rangeli Municipality Ward 7, Koshi on July 15, 2023. The thick smoke from the fire caused damage to properties in the area. No human casualties have been reported.",1
8,"A massive landslip occured at Janti Pahiro, Hupsekot Rural Municipality-4 in Gandaki district's Nawalparasi East on 2023-07-15. The crisis resulted from the heavy monsoon downpour in the region. Fortunately, no casualties have been reported. The responsible authorities have been working hard to clear the debris and restore the area.",1
9,"On July 15, 2023, a devastating landslide occurred at Seto Pahare, Ward 3 of Gaidakot Municipality in Nawalparasi East, Gandaki Province. It caused several casualties & property damages. Rescue & relief operations were sanctioned immediately. Aid will be provided to the victims affected by this disaster.",1
10,"On July 15th, a fire broke out at Parsahi in Rupani Rural Municipality-6, Saptari District of Madhesh. Fire fighters are working hard to control the fire. The cause of the fire is still unknown.",1
11,"At least 12 families were affected after a major landslide struck Surnaya Rural Municipality-6 in Baitadi district of Sudurpashchim province on 2023-07-15. It blocked the Jaya Prithvi Highway, causing disruption in the local transportation. Relief efforts are underway.",1
12,"On 2023-07-15, a devastating landslide occurred at Talara-Bali Tole in Aadarsha Rural Municipality-5 located in Doti District, Sudurpashchim Province. The landslide destroyed several homes and caused a subdivision of the road. Local officials are currently assessing the situation.",1
13,"On July 15, 2023, a landslide occurred in Ranikot, Sisne Rural Municipality-6 in Rukum East, Lumbini. Thankfully, there were no casualties or serious damage reported. Relevant institutions are further investigating the cause of the landslide to take preventive measures.",1
14,"Animal Incidents in Ugren Community Forest 
On 15th July 2023, numerous animal incidents occurred in the Ugren Community Forest in Gokulganga Rural Municipality-4, Ramechhap, Bagmati province. A number of livestock were injured, with one buffalo dying after an attack by an unidentified animal. Authorities are currently investigating the incident.",1
15,"Heavy rainfall has been experienced in Chhaharepani, Pokhara Lekhnath Metropolitan City-16 in Gandaki, Kaski on 15 July 2023. The municipality is monitoring the situation and providing support to any affected residents.",1
16,"Fire broke out on Wednesday in Jitpur village of Inaruwa Municipality-8, Sunsari district in Koshi province. Local authorities are investigating the cause of the hazardous incident. No casualties were reported.",1
17,"A fire broke out on 15 July, 2023 at Sangpang, Ward 10, Shadananda Municipality, in Bhojpur District, Koshi Province. The effected area is being surveyed by the authorities and necessary measures are taken. Firefighters have contained the blaze.",1
18,"A major landslide occurred at Jaya Prithvi Highway in Surnaya Rural Municipality-5, Baitadi district on 15th July 2023. The highway was blocked for an hour due to the incident but it was cleared and no casualties were reported. The province government is yet to issue a statement regarding the landslide.",1
19,"24th July, 2023: A landslide occurred yesterday in Lapha, Pachaljharana Rural Municipality-3, Kalikot, Karnali. No loss of life or injury was reported. Rainfall is likely to continue for the rest of the week. The local administration is closely monitoring the situation.",1
20,"A massive fire engulfed Gangapur of Sarawal Rural Municipality-3, located in Nawalparasi West of Lumbini Province, on 15 July 2023. The fire is still raging and efforts are being made to contain it.",1
21,"A landslide occurred in Garjeni, Pyuthan Municipality-7 on July 14, 2023. Lumbini's Pyuthan District was the area most affected, resulting in massive disruption and destruction of property. People have been reminded to remain vigilant to ensure their safety during such hazardous conditions.",1
22,"On the evening of 2023-07-14, a devastating landslide hit Ranikot, a village in Sisne Rural Municipality-6 of Rukum East Province in Lumbini. The incident caused massive damage to local infrastructure and sorrow to homes in the region.",1
23,"On July 14,2023, a landslide occurred in Naini Bagar, Ward 8 of Raghuganga Rural Municipality in the Gandaki District of Myagdi. No casualties were reported and an investigation is underway.",1
24,"Fire completely destroyed 17 shops in Gidaya, Tillotama Municipality-14 on July 14, 2023. Affected area is located in Rupandehi, Lumbini province. The cause of the fire is currently under investigation.",1
25,"Heavy Rainfall hit ward 9 of Mahakali_Darchula Municipality in Darchula, Sudurpashchim on July 14, 2023 causing disruption to everyday life. Streets flooded, roads blocked, overflowing rivers, and numerous damages were reported due to this hazardous incident.",1
26,"2023-07-14, Koshi's Sunsari district's Inaruwa Municipality's Ward 8 was hit by a severe flood. Families have been affected, with loss of life and property suspected. Relief and Rescue operations are underway in the district.",1
