Ward,Province,Municipality,Hazard,District,Incident on,Title,tweets
5,Gandaki,Dharche,Earthquake,Gorkha,2023-10-22,"Earthquake at Nareshwor, Dharche Rural Municipality-5","🚨 Just in! An earthquake has struck Nareshwor in Dharche Rural Municipality-5, Gorkha district, Gandaki province. Stay safe and follow local authorities for updates. #Earthquake #SafetyFirst"
1,Bagmati,Netrawati Dabjong,Earthquake,Dhading,2023-10-22,"Earthquake at Khari, Netrawati Dabjong Rural Municipality-1","🚨 BREAKING NEWS 🚨 
An earthquake has struck Khari in Netrawati Dabjong Rural Municipality-1, Dhading. Stay safe and follow official instructions. #EarthquakeAlert #StaySafe #NetrawatiDabjong #Dhading"
1,Sudurpashchim,Surma,Earthquake,Bajhang,2023-10-07,"Earthquake at Kaphrakatne, Surma Rural Municipality-1","🚨 Just in! An earthquake has struck Kaphrakatne in Surma Rural Municipality-1, Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
1,Sudurpashchim,Surma,Earthquake,Bajhang,2023-10-07,"Earthquake at Thana, Surma Rural Municipality-1","🚨 Earthquake Alert 🚨
An earthquake has struck Thana, Surma Rural Municipality-1 in Bajhang district, Sudurpashchim province. Please stay safe and follow emergency guidelines. #Earthquake #StaySafe"
1,Sudurpashchim,Gaumul,Earthquake,Bajura,2023-10-03,Earthquake at Gaumul Rural Municipality-1,"🚨 Earthquake Alert 🚨

An earthquake has struck Gaumul Rural Municipality-1 in Bajura, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Gaumul #Bajura #Sudurpashchim"
7,Sudurpashchim,Kamalbazar,Earthquake,Achham,2023-10-03,"Earthquake at Bhatakatiya, Kamalbazar Municipality-7","🚨 BREAKING NEWS 🚨
An earthquake has struck Bhatakatiya in Kamalbazar Municipality-7, Achham. Stay safe and follow local authorities for updates. 🙏 #EarthquakeAlert #StaySafe #Achham"
10,Sudurpashchim,Shikhar,Earthquake,Doti,2023-10-03,"Earthquake at Odar, Shikhar Municipality-10","🚨 Just in! An earthquake has hit Odar, Shikhar Municipality-10 in Doti district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #Doti #Nepal"
10,Sudurpashchim,Sanphebagar,Earthquake,Achham,2023-10-03,"Earthquake at Ghurfhurkot, Sanphebagar Municipality-10","🚨 Breaking News 🚨 An earthquake measuring X.X magnitude has struck Ghurfhurkot, Sanphebagar Municipality-10 in Achham district, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Achham #Sudurpashchim"
3,Sudurpashchim,Chaurpati,Earthquake,Achham,2023-10-03,"Earthquake at Gaguda, Chaurpati Rural Municipality-3","🚨 ALERT: An earthquake struck Gaguda, Chaurpati Rural Municipality-3 in Achham district, Sudurpashchim province. Stay safe and follow official instructions. #Earthquake #SafetyFirst"
2,Sudurpashchim,Dilasaini,Earthquake,Baitadi,2023-10-03,"Earthquake at Amarkhet, Dilasaini Rural Municipality-2","🚨 Earthquake Alert 🚨

An earthquake has struck Amarkhet in Dilasaini Rural Municipality-2, Baitadi. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected residents. #Earthquake #StaySafe #Baitadi"
2,Lumbini,Sitganga,Earthquake,Arghakhanchi,2023-10-03,"Earthquake at Sitapur, Sitganga Municipality-2","🚨 Earthquake Alert 🚨
An earthquake with magnitude X.X struck Sitapur, Sitganga Municipality-2, Arghakhanchi district, Lumbini province on 2023-10-03. Stay safe, everyone! #earthquake #safetyfirst #Sitapur #Sitganga #Arghakhanchi #Lumbini"
7,Sudurpashchim,Budhiganga,Earthquake,Bajura,2023-10-03,"Earthquake at Simalkot, Budhiganga Municipality-7","Just experienced a strong earthquake in Simalkot, Budhiganga Municipality-7, Bajura. Stay safe everyone! #earthquake #Sudurpashchim #Bajura"
7,Sudurpashchim,Sanphebagar,Earthquake,Achham,2023-10-03,Earthquake at Sanphebagar Municipality-7,"🚨 Just in! An earthquake struck Sanphebagar Municipality-7 in Achham district, Sudurpashchim province. Stay safe and follow official instructions. #Earthquake #SafetyFirst #Sanphebagar"
7,Sudurpashchim,Khaptad Chhededaha,Earthquake,Bajura,2023-10-03,Earthquake at Khaptad Chhededaha Rural Municipality-7,"🚨 Just in: A powerful earthquake struck Khaptad Chhededaha Rural Municipality-7 in Bajura district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe 🙏🏽"
