Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Landslide at Khabang Bagar , Putha Uttarganga Rural Municipality-4",,other,Landslide,2023-07-16,Lumbini,Rukum East,Putha Uttarganga,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Badkitaduwa, Barbardiya Municipality-7",,other,Animal Incidents,2023-07-16,Lumbini,Bardiya,Barbardiya,7,38500,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Beshisahar, Nashong Rural Municipality-3",,other,Landslide,2023-07-16,Gandaki,Manang,Nashong,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Flood at Loghekar Damodarkunda Rural Municipality-5,,other,Flood,2023-07-15,Gandaki,Mustang,Loghekar Damodarkunda,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Naini Bagar, Raghuganga Rural Municipality-8",,other,Landslide,2023-07-15,Gandaki,Myagdi,Raghuganga,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Ranikot, Putha Uttarganga Rural Municipality-4",,nepal_police,Landslide,2023-07-15,Lumbini,Rukum East,Putha Uttarganga,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Hiudekhola, Mathagadhi Rural Municipality-1",,other,Landslide,2023-07-15,Lumbini,Palpa,Mathagadhi,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Rangeli Bazar, Rangeli Municipality-7",,nepal_police,Fire,2023-07-15,Koshi,Morang,Rangeli,7,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Janti Pahiro, Hupsekot Rural Municipality-4",,other,Landslide,2023-07-15,Gandaki,Nawalparasi East,Hupsekot,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Seto Pahare, Gaidakot Municipality-3",,other,Landslide,2023-07-15,Gandaki,Nawalparasi East,Gaidakot,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Parsahi , Rupani Rural Municipality-6",,nepal_police,Fire,2023-07-15,Madhesh,Saptari,Rupani,6,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Jaya Prithvi Highway, Surnaya Rural Municipality-6",,other,Landslide,2023-07-15,Sudurpashchim,Baitadi,Surnaya,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Talara - Bali Tole , Aadarsha Rural Municipality-5",,other,Landslide,2023-07-15,Sudurpashchim,Doti,Aadarsha,5,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Ranikot, Sisne Rural Municipality-6",,other,Landslide,2023-07-15,Lumbini,Rukum East,Sisne,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Ugren Community Forest. , Gokulganga Rural Municipality-4",,other,Animal Incidents,2023-07-15,Bagmati,Ramechhap,Gokulganga,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Heavy Rainfall at Chhaharepani , Pokhara Lekhnath Metropolitan City-16",,other,Heavy Rainfall,2023-07-15,Gandaki,Kaski,Pokhara Lekhnath,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jitpur , Inaruwa Municipality-8",,other,Fire,2023-07-15,Koshi,Sunsari,Inaruwa,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sangpang, Shadananda Municipality-10",,other,Fire,2023-07-15,Koshi,Bhojpur,Shadananda,10,695000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Jaya Prithvi Highway , Surnaya Rural Municipality-5",,other,Landslide,2023-07-15,Sudurpashchim,Baitadi,Surnaya,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Lapha , Pachaljharana Rural Municipality-3",,other,Landslide,2023-07-15,Karnali,Kalikot,Pachaljharana,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Gangapur , Sarawal Rural Municipality-3",,other,Fire,2023-07-15,Lumbini,Nawalparasi West,Sarawal,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Landslide at Garjeni , Pyuthan Municipality-7",,other,Landslide,2023-07-14,Lumbini,Pyuthan,Pyuthan,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Ranikot, Sisne Rural Municipality-6",,other,Landslide,2023-07-14,Lumbini,Rukum East,Sisne,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Naini Bagar, Raghuganga Rural Municipality-8",,other,Landslide,2023-07-14,Gandaki,Myagdi,Raghuganga,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Gidaya, Tillotama Municipality-14",,other,Fire,2023-07-14,Lumbini,Rupandehi,Tillotama,14,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Heavy Rainfall at Dattu, Mahakali_Darchula Municipality-9",,other,Heavy Rainfall,2023-07-14,Sudurpashchim,Darchula,Mahakali_Darchula,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Flood at Inaruwa Municipality-8,,other,Flood,2023-07-14,Koshi,Sunsari,Inaruwa,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Singhiya , Inaruwa Municipality-8",,other,Heavy Rainfall,2023-07-14,Koshi,Sunsari,Inaruwa,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Jhapata Tole , Belbari Municipality-8",,other,Flood,2023-07-14,Koshi,Morang,Belbari,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Thati Ghumti , Pokhara Lekhnath Metropolitan City-19",,other,Fire,2023-07-14,Gandaki,Kaski,Pokhara Lekhnath,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Khamlalung Karina Chowk, Phedap Rural Municipality-3",,other,Landslide,2023-07-14,Koshi,Terhathum,Phedap,3,2650000,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Fire at Khapaudi, Pokhara Lekhnath Metropolitan City-18",,other,Fire,2023-07-14,Gandaki,Kaski,Pokhara Lekhnath,18,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Hariyali Tole , Belbari Municipality-8",,other,Flood,2023-07-14,Koshi,Morang,Belbari,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Bhusudi, Buddhabhumi Municipality-8",,nepal_police,Thunderbolt,2023-07-14,Lumbini,Kapilbastu,Buddhabhumi,8,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Lalmati - Dasgaja, Barhadashi Rural Municipality-7",,nepal_police,Flood,2023-07-14,Koshi,Jhapa,Barhadashi,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Konjyosom Rural Municipality-4,,other,Landslide,2023-07-14,Bagmati,Lalitpur,Konjyosom,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Baudha Mode, Barhadashi Rural Municipality-7",,nepal_police,Animal Incidents,2023-07-14,Koshi,Jhapa,Barhadashi,7,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Kahu Danda, Pokhara Lekhnath Metropolitan City-11",,other,Landslide,2023-07-14,Gandaki,Kaski,Pokhara Lekhnath,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Nilgiri Tole, Pokhara Lekhnath Metropolitan City-3",,other,Heavy Rainfall,2023-07-14,Gandaki,Kaski,Pokhara Lekhnath,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Seti River , Pokhara Lekhnath Metropolitan City-14",,other,Flood,2023-07-14,Gandaki,Kaski,Pokhara Lekhnath,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Dhorpatan Municipality-4,,other,Landslide,2023-07-13,Gandaki,Baglung,Dhorpatan,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
