Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Landslide at Chumlung Chowk , Phidim Municipality-11",,other,Landslide,2023-12-30,Koshi,Panchthar,Phidim,11,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Jyanglang , Gosaikunda Rural Municipality-4",,other,Landslide,2023-12-27,Bagmati,Rasuwa,Gosaikunda,4,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Loghekar Damodarkunda Rural Municipality-5,,other,Landslide,2023-12-26,Gandaki,Mustang,Loghekar Damodarkunda,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Chuwa , Kushma Municipality-10",,other,Forest Fire,2023-12-26,Gandaki,Parbat,Kushma,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Tunikharka, Pyuthan Municipality-7",,other,Forest Fire,2023-12-26,Lumbini,Pyuthan,Pyuthan,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Kishanpur , Dhanusadham Municipality-3",,other,Forest Fire,2023-12-23,Madhesh,Dhanusa,Dhanusadham,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Laltin Bazar , Netrawati Dabjong Rural Municipality-1",,other,Landslide,2023-12-19,Bagmati,Dhading,Netrawati Dabjong,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Jhakripani, Sisne Rural Municipality-6",,nepal_police,Forest Fire,2023-12-15,Lumbini,Rukum East,Sisne,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Kerung, Modi Rural Municipality-2",,nepal_police,Forest Fire,2023-12-14,Gandaki,Parbat,Modi,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Dumping , Bhumekasthan Municipality-7",,other,Landslide,2023-12-06,Lumbini,Arghakhanchi,Bhumekasthan,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
