text,target
"ðŸš¨ Earthquake Alert ðŸš¨ 
An earthquake with magnitude XX has struck Belpata, Bannigadhi Jayagadh Rural Municipality-3, Achham. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Achham",1
People try and argue this... Why. It's basic logic ðŸ˜‚ If I abstained from drawing until after I graduatâ€¦ https://t.co/sA8Ym8yCcf,0
"ðŸš¨ Urgent Update ðŸš¨

Attention residents of Ghorahi Submetropolitan City-10, Dang District! 

We regret to inform you that a severe flood has hit Khairi, causing widespread damage and posing a threat to your safety. Please take immediate precautions and stay tuned for further updates. Stay safe, everyone! ðŸ’¦ðŸŒŠ

#FloodAlert #StaySafe #Ghorahi #Khairi #DangDistrict #LumbiniProvince",1
"ðŸš¨ Forest Fire Alert ðŸš¨

ðŸ”¥ A devastating forest fire has broken out in Jarewar, Pokhara Lekhnath Metropolitan City-6! ðŸ”¥

ðŸ—“ Incident Date: 4/26/2021
ðŸ“ Province: Gandaki
ðŸ™ District: Kaski
ðŸ¢ Municipality: Pokhara Lekhnath
ðŸŒ³ Ward: 6

ðŸ™ Let's pray for the safety of the people and wildlife affected by this tragedy. Stay tuned for updates on the situation. ðŸ™

#ForestFire #EmergencyAlert #PokharaLekhnath #StaySafe #PrayersNeeded",1
Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Amâ€¦,0
"In him meeting with Rama today, Italian MFA Di Maio responded that the damage is high but he is confident that a solution will be found at the Donors' Conference. Albania Albanian Earthquake news Italy Donations ",1
"ðŸš¨ Earthquake Alert ðŸš¨

An earthquake has been reported in Konjyosom Rural Municipality-4, Lalitpur District, Bagmati Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #KonjyosomRuralMunicipality",1
"Some family of passengers #FlightPS752 say, Iranian regime threatened them by multiple anonymous calls that they are not allâ€¦",0
"We're not blaming the president for the volcanic eruption. However, cutting the disaster risk reduction &amp; management bâ€¦",0
Finance minister Tito Mboweni has warned that the governmentâ€™s failure to ramp up structural reforms will result inâ€¦ https://t.co/DVr6shQQys,0
"ðŸ”¥ Forest Fire Alert! ðŸ”¥
ðŸ“ Dakshinkali Municipality-1, Kathmandu, Bagmati Province

A devastating forest fire broke out in Dakshinkali Municipality-1. Our thoughts are with the affected community during this challenging time. Stay safe and follow the instructions from local authorities. ðŸ™

#ForestFire #EmergencyAlert #StaySafe #Dakshinkali #Kathmandu #BagmatiProvince",1
"A landslide occurred in Falelung Rural Municipality-1, Panchthar district, Koshi on June 19, 2023. The incident took place in Chirbhanjyang, Ward 1. The cause of the landslide is still under investigation.",1
"ðŸŒŠ Flood Alert ðŸŒŠ

ðŸ“ Gauradhaha Municipality-6, Jhapa, Koshi Province

ðŸ“… Incident on: 7/5/2018

Stay safe and vigilant as floodwaters continue to rise in Gauradhaha Municipality-6. Take necessary precautions and follow local authorities' guidance. Our thoughts are with everyone affected by this natural disaster. ðŸ™

#FloodAlert #StaySafe #GauradhahaMunicipality6 #Jhapa #KoshiProvince",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸ’¦ Flood Alert ðŸ’¦

ðŸŒŠ A devastating flood has hit Makalu Rural Municipality-3 in Sankhuwasabha district, Koshi province. 

ðŸ“… Incident Date: 6/17/2019

ðŸ†˜ Residents are advised to take immediate precautions and stay safe.

#FloodAlert #Makalu #Sankhuwasabha #Koshi #StaySafe",1
We shouldâ€™ve razed every plantation house and redistributed the land,0
Apex is all about separating from Monarch. Theyâ€™re â€œseparation. Well from my theory on how MechaGodâ€¦ https://t.co/aBzDKqocPv,0
Funny how it's ONLY the American democrats that are bashing Trump publicly forâ€¦,0
"Yeah, absolutely. And itâ€™s a disturbing trend for teenagers to be increasingly exposed to the physicaâ€¦ https://t.co/ipW8z48Hvb",0
o_O ! I think I felt your aftershock,0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒŠ Flood Alert ðŸŒŠ

ðŸ“ Dhamapur, Gadhimai Municipality-6

âš ï¸ A devastating flood struck Dhamapur, Gadhimai Municipality-6 in Rautahat District, Madhesh Province. 

ðŸ“… Incident Date: 7/12/2019

Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. ðŸ™

#FloodAlert #StaySafe #PrayForDhamapur",1
"Okay, now that we know for sure, maybe authorities will go after him and his cohorts for the stunt tying up emergenâ€¦ https://t.co/AqVgO1SGPx",0
"My God, did that snowstorm blow down from DC?",0
